*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=PCB-LedDriver-V6.1
*Date=16:23:06
*CreatedBy=Fritzing 0.9.6b..
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
285;330;THT;70.2416;-7.43297;90;Bottom;R117
286;330;THT;169.302;-7.43297;90;Bottom;R100
287;330;THT;65.1616;-7.43297;90;Bottom;R118
288;;;115.962;-42.0404;0;Bottom;Pad62
289;;;218.466;-51.9797;0;Bottom;blkr9
290;100;THT;66.1141;-36.3255;180;Bottom;R54
291;330;THT;108.342;-51.248;90;Bottom;R15
292;;;136.282;-16.6404;0;Bottom;Pad12
293;;;169.302;-44.5804;0;Bottom;Pad40
294;;;77.8616;-42.0404;0;Bottom;Pad66
295;;;186.764;-14.1004;0;Bottom;Pad31
296;100nF;200 mil [THT, multilayer];98.1816;-29.3405;90;Bottom;C5
297;;;202.31;-27.8169;-90;Bottom;TXT8
298;;;100.722;-42.0404;0;Bottom;Pad63
299;;THT;86.6656;-15.3706;90;Bottom;U10
300;;;49.9216;-16.6404;0;Bottom;Pad113
301;;;9.28156;-44.5804;0;Bottom;Pad89
302;100;THT;43.8891;-22.3555;0;Bottom;R90
303;;;67.7016;-16.6404;0;Bottom;Pad108
304;100;THT;129.614;-36.3255;0;Bottom;R43
305;100;THT;147.394;-36.3255;180;Bottom;R40
306;;;182.002;-16.6404;0;Bottom;Pad28
307;100;THT;15.9491;-22.3555;0;Bottom;R95
308;;;128.662;-44.5804;0;Bottom;Pad51
309;;;42.3016;-42.0404;0;Bottom;Pad88
310;330;THT;148.982;-51.248;90;Bottom;R8
311;330;THT;113.422;-51.248;90;Bottom;R14
312;;THT;18.1716;-56.0105;90;Bottom;J15
313;;;141.362;-14.1004;0;Bottom;Pad15
314;;;21.9816;-16.6404;0;Bottom;Pad124
315;;;108.342;-14.1004;0;Bottom;Pad4
316;330;THT;90.5616;-51.248;90;Bottom;R18
317;;;98.2583;-53.6788;0;Top;blkr1
318;;;70.2416;-44.5804;0;Bottom;Pad77
319;;THT;220.102;-48.3905;180;Bottom;Power
320;;;72.7816;-14.1004;0;Bottom;Pad106
321;;THT;155.332;-2.67047;-90;Bottom;J4
322;;;138.822;-44.5804;0;Bottom;Pad52
323;;;207.342;-48.0068;0;Bottom;TXT17
324;;;113.424;-28.7149;0;Bottom;Via8
325;;;159.142;-14.1004;0;Bottom;Pad19
326;;;24.5216;-44.5804;0;Bottom;Pad93
327;;;34.6816;-16.6404;0;Bottom;Pad120
328;330;THT;115.962;-7.43297;90;Bottom;R109
329;;;179.462;-42.0404;0;Bottom;Pad33
330;;;93.1016;-44.5804;0;Bottom;Pad69
331;;;100.584;-14.2771;0;Bottom;Copper Fill28
332;;;209.042;-28.7803;0;Bottom;Copper Fill27
333;;;210.063;-25.3609;-90;Bottom;TXT11
334;330;THT;34.6816;-51.248;90;Bottom;R28
335;;DIP16 [THT];155.332;-29.3405;90;Bottom;IC2
336;100;THT;135.329;-22.3555;0;Bottom;R74
337;;DIP16 [THT];132.472;-29.3405;90;Bottom;IC3
338;;;156.602;-44.5804;0;Bottom;Pad45
339;;;118.502;-14.1004;0;Bottom;Pad7
340;;;95.6416;-16.6404;0;Bottom;Pad97
341;;;138.822;-42.0404;0;Bottom;Pad54
342;100;THT;83.8941;-36.3255;0;Bottom;R52
343;;THT;86.8376;-43.3105;-90;Bottom;U9
344;100;THT;170.254;-36.3255;180;Bottom;R36
345;;;39.7616;-14.1004;0;Bottom;Pad117
346;;;141.362;-16.6404;0;Bottom;Pad13
347;;;169.302;-42.0404;0;Bottom;Pad39
348;100;THT;94.6891;-22.3555;0;Bottom;R81
349;;;90.5616;-16.6404;0;Bottom;Pad100
350;;DIP16 [THT];86.7516;-29.3405;90;Bottom;IC5
351;100;THT;130.249;-22.3555;0;Bottom;R75
352;;;70.2277;-29.9742;0;Bottom;Via16
353;;;133.742;-44.5804;0;Bottom;Pad53
354;;;62.6216;-16.6404;0;Bottom;Pad110
355;;;199.136;-50.5736;0;Bottom;Copper Fill29
356;;;56.5891;-14.1004;0;Bottom;Pad111
357;;;113.422;-16.6404;0;Bottom;Pad5
358;;;131.202;-14.1004;0;Bottom;Pad16
359;;;21.9816;-14.1004;0;Bottom;Pad123
