*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=PCB-LedDriver-V5.0
*Date=15:35:03
*CreatedBy=Fritzing 0.9.6b..
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
251;;THT;104.308;-55.3416;90;Bottom;J7
252;;;108.121;-28.681;0;Bottom;Via8
253;;;125.898;-14.0665;0;Bottom;Pad16
254;330;THT;42.0785;-7.3991;90;Bottom;R121
255;330;THT;130.978;-51.2141;90;Bottom;R10
256;100;THT;111.611;-36.2916;-4.77083e-15;Bottom;R45
257;330;THT;64.9385;-7.3991;90;Bottom;R117
258;;THT;149.942;-15.3367;90;Bottom;U4
259;;;113.198;-14.0665;0;Bottom;Pad7
260;;;16.6785;-14.0666;0;Bottom;Pad123
261;330;THT;148.758;-51.2141;90;Bottom;R7
262;330;THT;57.3185;-51.2141;90;Bottom;R23
263;;THT;172.888;-55.3416;90;Bottom;J1
264;330;THT;151.298;-7.3991;90;Bottom;R102
265;;;153.838;-14.0665;0;Bottom;Pad19
266;;;118.278;-42.0065;0;Bottom;Pad55
267;100;THT;119.231;-36.2916;180;Bottom;R44
268;;;176.698;-16.289;0;Bottom;Pad28
269;330;THT;3.97849;-7.3991;90;Bottom;R128
270;100;THT;97.006;-22.3216;0;Bottom;R80
271;330;THT;174.158;-7.3991;90;Bottom;R98
272;;THT;150.028;-55.3416;90;Bottom;J3
273;100;THT;78.591;-36.2916;0;Bottom;R52
274;;;57.3185;-16.6066;0;Bottom;Pad110
275;330;THT;97.9585;-51.2141;90;Bottom;R16
276;;THT;172.794;-15.3268;90;Bottom;U2
277;;;14.1385;-44.5466;0;Bottom;Pad92
278;;;26.8385;-44.5466;0;Bottom;Pad81
279;;;186.859;-54.7066;0;Bottom;Hole6
280;;;151.298;-44.5465;0;Bottom;Pad45
281;;;105.578;-44.5465;0;Bottom;Pad61
282;330;THT;62.3985;-51.2141;90;Bottom;R22
283;;;128.438;-42.0065;0;Bottom;Pad49
284;330;THT;158.918;-51.2141;90;Bottom;R5
285;100;THT;170.031;-36.2916;0;Bottom;R35
286;330;THT;59.8585;-7.3991;90;Bottom;R118
287;330;THT;16.6785;-51.2141;90;Bottom;R30
288;;;31.9185;-42.0066;0;Bottom;Pad87
289;100;THT;20.171;-36.2916;-4.77083e-15;Bottom;R61
290;;THT;58.5885;-3.2716;-90;Bottom;J12
291;;DIP16 [THT];104.308;-29.3066;90;Bottom;IC4
292;100;THT;10.011;-36.2916;0;Bottom;R63
293;;;156.378;-29.9417;0;Bottom;Via4
294;;;125.898;-16.6065;0;Bottom;Pad14
295;;;9.05849;-42.0066;0;Bottom;Pad95
296;330;THT;176.698;-51.2141;-90;Bottom;R2
297;;DIP16 [THT];127.168;-29.3066;90;Bottom;IC3
298;;;176.698;-13.749;0;Bottom;Pad27
299;330;THT;36.9985;-7.3991;90;Bottom;R122
300;;;166.538;-16.289;0;Bottom;Pad25
301;;;171.618;-13.749;0;Bottom;Pad32
302;;THT;81.3625;-15.3367;90;Bottom;U10
303;;;54.7785;-42.0066;0;Bottom;Pad79
304;;;80.1785;-14.0666;0;Bottom;Pad101
305;;;136.058;-14.0665;0;Bottom;Pad15
306;100;THT;129.391;-36.2916;180;Bottom;R42
307;;;62.3985;-14.0666;0;Bottom;Pad107
308;100;THT;164.951;-36.2916;180;Bottom;R36
309;100;THT;60.811;-36.2916;180;Bottom;R54
310;;THT;104.222;-15.3367;90;Bottom;U8
311;;THT;150.125;-43.2659;-90;Bottom;U3
312;330;THT;52.2385;-51.2141;90;Bottom;R24
313;330;THT;9.05849;-7.3991;90;Bottom;R127
314;100;THT;147.806;-22.3216;0;Bottom;R71
315;330;THT;156.378;-7.3991;90;Bottom;R101
316;100;THT;50.651;-36.2916;180;Bottom;R56
317;;;11.5985;-16.6066;0;Bottom;Pad126
318;;;3.97846;-42.0066;0;Bottom;Pad90
319;;;151.298;-42.0065;0;Bottom;Pad41
320;;;77.6385;-42.0066;0;Bottom;Pad71
