*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=PCB-LedDriverFill-V5.0
*Date=06:58:31
*CreatedBy=Fritzing 0.9.6b..
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
270;;;26.9336;-16.6065;0;Bottom;Pad121
271;330;THT;123.454;-7.3991;90;Bottom;R108
272;;;37.0936;-42.0065;0;Bottom;Pad87
273;330;THT;169.174;-7.3991;90;Bottom;R100
274;;;80.2737;-14.0665;0;Bottom;Pad103
275;;;133.614;-42.0065;0;Bottom;Pad49
276;330;THT;77.7336;-7.3991;90;Bottom;R116
277;330;THT;44.7136;-51.2141;90;Bottom;R26
278;;;123.454;-44.5465;0;Bottom;Pad56
279;;THT;155.3;-43.2659;-90;Bottom;U3
280;100;THT;84.4011;-22.3216;0;Bottom;R83
281;;THT;109.484;-3.2716;-90;Bottom;J8
282;100;THT;48.2061;-36.2916;-4.77083e-15;Bottom;R57
283;;;70.1137;-42.0065;0;Bottom;Pad75
284;330;THT;108.214;-51.2141;90;Bottom;R15
285;;;85.3537;-14.0665;0;Bottom;Pad101
286;;;100.594;-44.5465;0;Bottom;Pad64
287;;DIP16 [THT];178.064;-29.3066;90;Bottom;IC1
288;;DIP16 [THT];40.9036;-29.3066;90;Bottom;IC7
289;100;THT;147.901;-22.3216;0;Bottom;R72
290;330;THT;67.5736;-51.2141;90;Bottom;R22
291;;;138.694;-29.9417;0;Bottom;Via1
292;100;THT;170.761;-22.3216;0;Bottom;R68
293;330;THT;179.334;-7.3991;90;Bottom;R98
294;330;THT;138.694;-7.3991;90;Bottom;R105
295;;;179.334;-44.5465;0;Bottom;Pad37
296;;;151.394;-44.5465;0;Bottom;Pad43
297;;;192.034;-54.7066;0;Bottom;Hole6
298;100;THT;71.7011;-22.3216;0;Bottom;R85
299;100;THT;89.4811;-22.3216;0;Bottom;R82
300;100;THT;117.421;-22.3216;0;Bottom;R77
301;;;186.954;-16.6065;0;Bottom;Pad29
302;330;THT;131.074;-51.2141;90;Bottom;R11
303;;THT;155.204;-55.3416;90;Bottom;J3
304;100;THT;78.6861;-36.2916;180;Bottom;R53
305;;;11.6936;-14.0665;0;Bottom;Pad127
306;330;THT;16.7736;-51.2141;90;Bottom;R31
307;;;118.374;-14.0665;0;Bottom;Pad7
308;;;146.314;-42.0065;0;Bottom;Pad47
309;100;THT;38.6811;-22.3216;0;Bottom;R91
310;100;THT;20.9011;-22.3216;0;Bottom;R94
311;330;THT;128.534;-7.3991;90;Bottom;R107
312;;;59.9537;-44.5465;0;Bottom;Pad78
313;330;THT;42.1736;-7.3991;90;Bottom;R122
314;330;THT;11.6936;-51.2141;90;Bottom;R32
315;;THT;63.7636;-55.3416;90;Bottom;J11
316;;;115.828;-29.9471;0;Bottom;Via7
317;;;167.759;-43.8429;0;Bottom;TXT6
318;;;59.9537;-42.0065;0;Bottom;Pad79
319;100;THT;134.566;-36.2916;180;Bottom;R42
320;;;161.554;-44.5465;0;Bottom;Pad44
321;100;THT;61.5411;-22.3216;0;Bottom;R87
322;100;THT;175.841;-22.3216;0;Bottom;R67
323;;DIP16 [THT];132.344;-29.3066;90;Bottom;IC3
324;;;176.794;-14.0665;0;Bottom;Pad32
325;330;THT;125.994;-51.2141;90;Bottom;R12
326;330;THT;118.374;-51.2141;90;Bottom;R13
327;;THT;178.064;-3.2716;-90;Bottom;J2
328;330;THT;87.8936;-7.3991;90;Bottom;R114
329;330;THT;184.414;-7.3991;90;Bottom;R97
330;100;THT;25.9811;-22.3216;0;Bottom;R93
